	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
0	Halloween	Helloween		Keeper of the Seven Keys, Part 1		rock	12773376	798			7.0			5/11/08, 2:11 AM	1/22/09, 7:59 PM	128	44100		MPEG audio file							20.0
1	Do You Want To Know A Secret	The Beatles	John Lennon/Paul McCartney	Please Please Me		Rock	1911842	119	1.0	1.0	11.0	14.0	1963.0	12/23/06, 9:44 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	2/16/09, 2:08 AM			20.0
2	A Taste Of Honey	The Beatles	Bobby Scott/Ric Marlow	Please Please Me		Rock	2000953	125	1.0	1.0	12.0	14.0	1963.0	12/23/06, 9:44 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	2/16/09, 2:16 AM			20.0
3	Luckie	Laura Nyro		Eli & the Thirteenth Confessio		Pop	7264892	181			1.0		1968.0	5/30/12, 7:38 AM	6/2/12, 4:42 PM	320	44100		MPEG audio file		++tagged using an unregistered copy of Rip'N'Tagit++			1.0	11/30/13, 7:06 PM	20.0
4	The Long And Winding Road	The Beatles	John Lennon & Paul McCartney	1		Pop	3531322	217	1.0	1.0	27.0	27.0	1970.0	12/23/06, 10:34 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							20.0
5	Just a Song Before I Go	Crosby, Stills, Nash & Young		Carry On (1 of 2)		Rock	2153704	134			16.0		1980.0	3/11/14, 5:57 PM	7/3/08, 10:07 PM	128	44100		MPEG audio file							20.0
6	Wonderful Tonight	Eric Clapton	Clapton	Just One Night (Disc 1)		Rock	4603213	283	1.0	2.0	4.0	8.0	1980.0	11/15/05, 12:23 AM	7/3/08, 10:08 PM	128	44100		AAC audio file			1.0	5/31/13, 8:37 PM	1.0	11/30/08, 6:03 PM	20.0
7	Borderline	Madonna	Reggie Lucas	The Immaculate Collection		Pop	3888603	240	1.0	1.0	3.0	17.0	1983.0	6/7/05, 7:57 PM	7/3/08, 10:09 PM	128	44100		AAC audio file							20.0
8	The Working Hour	Tears For Fears		Songs From The Big Chair		Pop	15673974	391			2.0		1985.0	5/30/12, 7:03 AM	6/2/12, 4:40 PM	320	44100		MPEG audio file					1.0	2/7/13, 10:56 PM	20.0
9	All I Ask	Crowded House		Woodface		Rock	5520129	236			10.0		1991.0	1/3/08, 4:27 PM	7/3/08, 10:07 PM	186	44100		MPEG audio file		ÜberStandard - UberNet.org					20.0
10	A Great Day For Freedom	Pink Floyd	David Gilmour	The Division Bell		Rock	4177199	257	1.0	1.0	5.0	11.0	1994.0	1/7/07, 8:34 PM	7/3/08, 10:09 PM	128	44100		AAC audio file					1.0	11/30/13, 7:06 PM	20.0
11	Morning Raga	Popol Vuh	Popol Vuh	City Raga		Experimental	6789348	339			5.0	7.0	1995.0	5/30/12, 3:18 AM	5/30/12, 3:18 AM	160	44100		MPEG audio file			1.0	8/1/13, 12:27 PM			20.0
12	A Happening For Lulu	The Jimi Hendrix Experience	Lulu	BBC Sessions [Disc 2]		Rock	366294	19	2.0	2.0	15.0	19.0	1998.0	12/25/06, 3:43 AM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	12/1/08, 12:55 AM			20.0
13	It Keeps You Runnin'	The Doobie Brothers		Long Train Rinnin': 1970 - 2000 (CD2 Wheels of Fortune)		Rock	6903517	257			11.0		1999.0	6/21/07, 3:50 PM	7/3/08, 10:10 PM	214	44100		MPEG audio file		ÜberStandard - UberNet.org					20.0
14	A PAIR OF OLD SNEAKERS	George Jones	Glenn Sutton/Larry Kingston	THE LEGENDARY		Country	5833177	145			20.0		1999.0	6/21/09, 2:00 AM	7/4/09, 10:15 AM	320	44100		MPEG audio file			1.0	8/15/12, 5:40 PM			20.0
15	I Never Knew	The Skatalites		Bashaka		Ska	4370432	218			11.0		2000.0	12/2/08, 9:35 AM	1/2/09, 10:10 PM	160	44100		MPEG audio file					2.0	5/20/12, 3:29 PM	20.0
16	Intro	John Peel		FabricLive 07: John Peel		Funk	1860062	73			1.0	24.0	2002.0	5/19/12, 3:15 AM	5/23/12, 6:32 PM	192	44100		MPEG audio file			1.0	8/3/12, 4:08 PM			20.0
17	For The Love Of You, Parts 1 & 2	Joss Stone	Christopher Jasper; Ernest Isley; Kelly Isley; Marvin Isley; Ronald Isley; Rudolph Isley	The Soul Sessions		R&B	7344533	453	1.0	1.0	10.0	10.0	2003.0	4/27/05, 12:44 PM	7/3/08, 10:08 PM	128	44100		AAC audio file					1.0	8/3/08, 3:02 PM	20.0
