	Name	Artist	Composer_x	Album	Grouping_x	Genre_x	Size_x	Time_x	Disc Number_x	Disc Count_x	Track Number_x	Track Count_x	Year_x	Date Modified_x	Date Added_x	Bit Rate_x	Sample Rate_x	Volume Adjustment_x	Kind_x	Equalizer_x	Comments_x	Plays_x	Last Played_x	Skips_x	Last Skipped_x	My Rating_x	Composer_y	Grouping_y	Genre_y	Size_y	Time_y	Disc Number_y	Disc Count_y	Track Number_y	Track Count_y	Year_y	Date Modified_y	Date Added_y	Bit Rate_y	Sample Rate_y	Volume Adjustment_y	Kind_y	Equalizer_y	Comments_y	Plays_y	Last Played_y	Skips_y	Last Skipped_y	My Rating_y	Location	My Rating	Composer	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped
0	A Hard Day's Night	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2435136	152	1.0	1.0	1.0	13.0	1964.0	12/23/06, 9:25 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	1/17/14, 9:23 PM	0.0		80.0			Rock	27231596	154			1	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			2.0		0.0		80.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:01 A Hard Day's Night.wav	80.0			Rock	27231596	154			1	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			2.0		0.0	
1	I Should Have Known Better	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2624451	164	1.0	1.0	2.0	13.0	1964.0	12/23/06, 9:25 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			3.0	2/17/09, 3:51 AM	0.0		100.0			Rock	29362508	166			2	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			3.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:02 I Should Have Known Better.wav	100.0			Rock	29362508	166			2	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			3.0		0.0	
2	If I Fell	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2260783	142	1.0	1.0	3.0	13.0	1964.0	12/23/06, 9:25 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	2/17/09, 3:57 AM	0.0		60.0			Rock	25361756	143			3	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			1.0		0.0		60.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:03 If I Fell.wav	60.0			Rock	25361756	143			3	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			1.0		0.0	
3	I'm Happy Just To Dance With You	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	1893543	118	1.0	1.0	4.0	13.0	1964.0	12/23/06, 9:25 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			9.0	1/3/14, 1:04 AM	1.0	2/17/09, 4:03 AM	100.0			Rock	21182252	120			4	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			9.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:04 I'm Happy Just To Dance With You.wav	100.0			Rock	21182252	120			4	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			9.0		0.0	
4	And I Love Her	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2423026	151	1.0	1.0	5.0	13.0	1964.0	12/23/06, 9:26 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			5.0	8/16/13, 4:14 AM	0.0		100.0			Rock	27019916	153			5	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			5.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:05 And I Love Her.wav	100.0			Rock	27019916	153			5	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			5.0		0.0	
5	Tell Me Why	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2076024	130	1.0	1.0	6.0	13.0	1964.0	12/23/06, 9:26 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	8/16/13, 4:16 AM	0.0		80.0			Rock	23339036	132			6	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			1.0		0.0		80.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:06 Tell Me Why.wav	80.0			Rock	23339036	132			6	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			1.0		0.0	
6	Can't Buy Me Love	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2154454	134	1.0	1.0	7.0	13.0	1964.0	12/23/06, 9:26 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	2/17/09, 4:21 AM	0.0		60.0			Rock	24108140	136			7	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			1.0		0.0		60.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:07 Can't Buy Me Love.wav	60.0			Rock	24108140	136			7	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			1.0		0.0	
7	Any Time At All	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2137460	133	1.0	1.0	8.0	13.0	1964.0	12/23/06, 9:26 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			6.0	6/3/14, 12:13 PM	0.0		100.0			Rock	23814140	135			8	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			6.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:08 Any Time At All.wav	100.0			Rock	23814140	135			8	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			6.0		0.0	
8	I'll Cry Instead	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	1716731	107	1.0	1.0	9.0	13.0	1964.0	12/23/06, 9:26 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			3.0	7/29/12, 1:50 PM	0.0		80.0			Rock	19347692	109			9	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			3.0		0.0		80.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:09 I'll Cry Instead.wav	80.0			Rock	19347692	109			9	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			3.0		0.0	
9	Things We Said Today	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2527278	158	1.0	1.0	10.0	13.0	1964.0	12/23/06, 9:27 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			4.0	2/20/09, 2:34 PM	0.0		100.0			Rock	28261288	160			10	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:10 Things We Said Today.wav	100.0			Rock	28261288	160			10	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0	
