	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
0	Like Eating Glass	Bloc Party		Silent Alarm		Indie Rock	6275297	261			1.0			3/11/14, 4:37 PM	7/7/08, 4:35 PM	192	44100		MPEG audio file			1.0	5/10/14, 7:08 PM			60.0
1	Kundan's Hideout	Bombay the hard way		Bombay the Hard Way- Guns, Cars & Sitars		Hip Hop dj	3270656	204			14.0			2/12/09, 3:04 AM	2/12/09, 3:23 AM	128	44100		MPEG audio file							60.0
2	Politicians (Siren Riddim)	Burro Banton		Single		Blues	4666434	194						5/30/12, 1:05 AM	7/7/08, 4:35 PM	192	44100		MPEG audio file							60.0
3	Glendora	The Downliners Sect		Nuggets II disc 3		Psychedelic Rock	4177920	164		4.0	27.0	27.0		9/13/08, 8:00 PM	7/3/08, 10:10 PM	203	44100		MPEG audio file			1.0	5/31/13, 12:55 PM			60.0
4	Why Don't You Smile Now	The Downliners Sect		Nuggets II disc 4		Psychedelic Rock	3446784	128		4.0	6.0	28.0		9/13/08, 8:00 PM	7/3/08, 10:10 PM	215	44100		MPEG audio file							60.0
5	Ah Ni Kuria	Dr. Zeus Vs DJ Sanj	Dr. Zeus	Bhangra Battle-Round 1		World	4851057	242			3.0	12.0		7/30/07, 2:53 PM	1/24/09, 7:07 PM	160	44100		MPEG audio file		Vocals by Lehmber Hussainpuri			1.0	6/7/12, 11:46 PM	60.0
6	02.Funkadelic - Heavens To Megatroid 2	Funkadelic		Funkadelic Outtakes		Funk	24573041	614				19.0		2/26/09, 7:39 PM	1/10/09, 5:32 PM	320	44100		MPEG audio file			2.0	4/2/14, 2:38 PM			60.0
7	There Will Never Be Another You	Jimmy Raney (1927-1995)		Quadromania 2 Of 4		Jazz	4298839	267			12.0	13.0		12/27/06, 11:46 PM	7/3/08, 10:08 PM	128	44100		AAC audio file			2.0	2/21/13, 1:28 AM			60.0
8	U Wonder Why They Call U Bitch	2 Pac		Rap Single		Rap	4151296	259						1/3/07, 7:39 PM	7/3/08, 10:06 PM	128	44100		MPEG audio file		                            					60.0
9	2. Vocalise, pour l'Ange qui announce la fin du Temps	Oliver Messiaen	Oliver Messiaen	Quatuor pour la Fin du Temps (Quartet for the End of Time)		Classical	5299409	326			2.0	9.0	1941.0	11/26/06, 4:28 PM	7/3/08, 10:09 PM	128	44100		AAC audio file			1.0	6/26/12, 2:19 AM			60.0
10	1. Stuck	Pierre Boulez	Pierre Boulez	Premier livre		Classical	3341104	216			1.0	5.0	1952.0	11/26/06, 9:51 PM	7/3/08, 10:09 PM	128	44100		AAC audio file			2.0	6/11/12, 9:23 PM			60.0
11	4th episode	Edgard Varese	Edgard Varese	Deserts		Classical	3107496	190			18.0	19.0	1954.0	11/26/06, 6:07 PM	7/3/08, 10:07 PM	128	44100		AAC audio file							60.0
12	How About You	Frank Sinatra	Burton Lane & R. Freed	Songs For Swingin' Lovers		Easy Listening	2687556	166	1.0	1.0	15.0	15.0	1955.0	4/26/05, 2:00 PM	7/3/08, 10:08 PM	128	44100		AAC audio file			4.0	1/2/14, 7:42 PM			60.0
13	Here We Go Again	Ray Charles	Donnie Lanier	Modern Sounds in Country and Western Music		R&B	3227576	198	1.0	1.0	14.0	15.0	1962.0	4/21/05, 9:25 PM	7/3/08, 10:09 PM	128	44100		AAC audio file			4.0	1/4/14, 12:56 AM			60.0
14	P.S. I Love You	The Beatles	John Lennon/Paul McCartney	Please Please Me		Rock	2016304	125	1.0	1.0	9.0	14.0	1963.0	12/23/06, 9:36 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	1/9/14, 4:42 PM			60.0
15	From Me To You	The Beatles	John Lennon & Paul McCartney	1		Pop	1912151	116	1.0	1.0	2.0	27.0	1963.0	12/23/06, 10:31 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
16	She Loves You	The Beatles	John Lennon & Paul McCartney	1		Pop	2311705	141	1.0	1.0	3.0	27.0	1963.0	12/23/06, 10:31 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
17	Don't Let Me Be Misunderstood	The Animals	Bennie Benjamin/Gloria Caldwell/Sol Marcus	The Best Of The Animals		Rock	2428881	148	1.0	1.0	6.0	15.0	1964.0	12/23/06, 9:10 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
18	If I Fell	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2260783	142	1.0	1.0	3.0	13.0	1964.0	12/23/06, 9:25 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	2/17/09, 3:57 AM			60.0
19	Can't Buy Me Love	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2154454	134	1.0	1.0	7.0	13.0	1964.0	12/23/06, 9:26 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	2/17/09, 4:21 AM			60.0
20	We Can Work It Out	The Beatles	John Lennon & Paul McCartney	1		Pop	2213991	135	1.0	1.0	13.0	27.0	1965.0	12/23/06, 10:32 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	8/16/13, 4:22 AM			60.0
