	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
0	The Madman Running Through The Fields	Dantalion's Chariot		Nuggets II disc 4		Psychedelic Rock	5824512	251		4.0	3.0	28.0		9/13/08, 8:00 PM	7/3/08, 10:07 PM	185	44100		MPEG audio file							40.0
1	Over You	Dwarves		Live 105 Presents The DJ With No Name's Local Lounge Volume Two		Rock	2648776	162			1.0	22.0		12/27/06, 6:03 PM	1/21/09, 6:50 PM	128	44100		AAC audio file					2.0	8/15/12, 5:40 PM	40.0
2	Love Hate Revenge	Episode Six		Nuggets II disc 3		Psychedelic Rock	4302848	175		4.0	20.0	27.0		9/13/08, 8:00 PM	7/3/08, 10:08 PM	195	44100		MPEG audio file							40.0
3	I Wish I Was Five	Scrugg		Nuggets II disc 3		Psychedelic Rock	4833280	199		4.0	26.0	27.0		9/13/08, 8:01 PM	7/3/08, 10:10 PM	193	44100		MPEG audio file			1.0	1/5/14, 9:38 PM			40.0
4	You Know What To Do	The Beatles	Harrison	Anthology 1 [Disc 2]		Rock	1935397	118	2.0	2.0	19.0	26.0	1964.0	12/23/06, 9:56 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							40.0
5	Poem For Tables Chairs Etc. Part 2	La Monte Young		Theatre Of Eternal Music		Electroacoustic	11082410	461			3.0	7.0	1964.0	3/11/14, 4:22 PM	4/16/11, 4:04 PM	192	44100		MPEG audio file							40.0
6	Act Naturally	The Beatles	The Beatles	Help!		Rock	2448060	153	1.0	1.0	8.0	14.0	1965.0	12/23/06, 9:23 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	8/13/13, 6:05 AM			40.0
7	When I See That Girl Of Mine	Kinks		The Kink Kontroversy		Rock	2923799	121			15.0		1965.0	8/17/07, 8:56 PM	2/7/09, 9:48 PM	192	44100		MPEG audio file			2.0	7/26/13, 2:54 PM	1.0	9/1/13, 4:55 PM	40.0
8	Yellow Submarine	The Beatles	John Lennon/Paul McCartney	Revolver		Pop	2565827	160	1.0	1.0	6.0	14.0	1966.0	12/23/06, 10:58 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	7/9/12, 5:23 PM	1.0	2/12/13, 6:35 PM	40.0
9	Revolution 9	The Beatles	Lennon/McCartney	The Beatles (White Album) [Disc 2]		Rock	9865571	493	2.0	2.0	12.0	13.0	1968.0	8/22/07, 10:08 PM	7/3/08, 10:10 PM	160	44100		MPEG audio file							40.0
10	I Want You (She's So Heavy)	The Beatles		Abbey Road		Rock	11381791	467			6.0	17.0	1969.0	1/29/09, 3:51 PM	1/29/09, 4:00 PM	194	44100		MPEG audio file		Ripped by DrOOcik :-)	1.0	3/25/13, 7:38 PM			40.0
11	The Long And Winding Road	The Beatles	Lennon, McCartney	Let It Be... Naked		Rock	3478359	214	1.0	2.0	4.0	11.0	1969.0	12/23/06, 10:35 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							40.0
12	Looking for Through the Eyes of Love	Marlena Shaw		The Spice Of Life		Jazz	6546687	180			9.0		1969.0	11/6/11, 11:58 AM	11/6/11, 8:24 PM	289	44100		MPEG audio file							40.0
13	Thorn Tree In The Garden	Derek and the Dominos	Bobby Whitlock	Layla & Other Assorted Love Songs		Rock	2769969	169	1.0	1.0	14.0	14.0	1970.0	12/8/08, 2:08 PM	7/3/08, 10:07 PM	128	44100		AAC audio file			1.0	9/28/08, 8:08 PM			40.0
14	Winter	The Rolling Stones		Goat´s Head Soup		Rock	6402936	329			8.0		1973.0	1/2/08, 5:40 AM	7/3/08, 10:10 PM	155	44100		MPEG audio file							40.0
15	Time Waits For No One	The Rolling Stones	The Rolling Stones	It's Only Rock 'N Roll		Rock	6440782	398	1.0	1.0	5.0	10.0	1974.0	5/5/05, 8:52 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							40.0
16	Johnny Was	Bob Marley & The Wailers	R. Marley	Rastaman Vibration		Reggae	3676220	227	1.0	1.0	3.0	10.0	1976.0	5/20/05, 6:26 PM	7/3/08, 10:06 PM	128	44100		AAC audio file			1.0	2/23/09, 6:32 PM			40.0
17	Just The Way You Are	Billy Joel	Billy Joel	The Stranger		Pop	4749986	293	1.0	1.0	3.0	9.0	1977.0	5/9/05, 8:44 PM	7/3/08, 10:06 PM	128	44100		AAC audio file							40.0
18	Everybody Has A Dream	Billy Joel	Billy Joel	The Stranger		Pop	6438016	397	1.0	1.0	9.0	9.0	1977.0	5/9/05, 8:44 PM	7/3/08, 10:06 PM	128	44100		AAC audio file							40.0
19	Better Git Hit In Your Soul	Charles Mingus	Charles Mingus	Three Or Four Shades Of Blues		Jazz	4427292	279	1.0	1.0	1.0	5.0	1977.0	5/10/05, 8:17 AM	1/22/09, 7:39 PM	128	44100		AAC audio file							40.0
20	Caligari's Mirror	Pere Ubu	Pere Ubu	Dub Housing		Alternative & Punk	5583888	232	1.0	1.0	4.0	10.0	1978.0	12/26/07, 11:40 AM	12/14/09, 3:37 AM	192	44100		MPEG audio file			2.0	1/1/10, 2:57 PM			40.0
